Source,Target,Weight
Nat Methods,Adv Exp Med Biol,3
Nat Methods,Sci Rep,37
Nat Methods,Oncogene,2
Nat Methods,Mol Cell,3
Nat Methods,PLoS Genet,1
Nat Methods,PLoS One,24
Nat Methods,Nat Protoc,6
Nat Methods,Methods Mol Biol,13
Nat Methods,Nature,12
Nat Methods,Oncotarget,15
Nat Methods,Proc Natl Acad Sci U S A,12
Nat Methods,Science,19
Nat Methods,J Biol Chem,5
Nat Methods,Clin Cancer Res,1
Nat Methods,Nucleic Acids Res,19
Nat Methods,ACS Synth Biol,8
Nat Methods,Plant Cell Rep,4
Nat Methods,Cold Spring Harb Protoc,7
Nat Methods,J Bacteriol,4
Nat Methods,Nat Commun,28
Nat Methods,Metab Eng,2
Nat Methods,Stand Genomic Sci,4
Nat Methods,Genome Announc,5
Nat Methods,Mol Ther,4
Nat Methods,Cell Syst,1
Nat Methods,Cell Rep,7
Nat Methods,J Virol,2
Nat Methods,Cell Mol Life Sci,5
Nat Methods,Zebrafish,5
Nat Methods,Cell Metab,1
Nat Methods,Protein Cell,5
Nat Methods,Cell,19
Nat Methods,Elife,5
Nat Methods,Cancer Discov,1
Nat Methods,Yi Chuan,3
Nat Methods,Sci Adv,2
Nat Methods,Genome Res,20
Nat Methods,Acta Pharmacol Sin,1
Nat Methods,Biochim Biophys Acta,2
Nat Methods,Genome Biol,12
Nat Methods,BMC Genomics,5
Nat Methods,G3 (Bethesda),9
Nat Methods,Cancer Sci,1
Nat Methods,Hum Mol Genet,8
Nat Methods,Front Plant Sci,2
Nat Methods,J Integr Plant Biol,4
Nat Methods,MBio,2
Nat Methods,Mol Ther Nucleic Acids,2
Nat Methods,Virus Res,1
Nat Methods,Virol J,3
Nat Methods,Nat Plants,1
Nat Methods,RNA Biol,10
Nat Methods,Nat Chem Biol,3
Nat Methods,Int J Mol Sci,3
Nat Methods,Front Microbiol,1
Nat Methods,BMB Rep,1
Nat Methods,Ann Neurol,1
Nat Methods,Plant Biotechnol J,2
Nat Methods,Nat Biotechnol,29
Nat Methods,Mol Ther Methods Clin Dev,1
Nat Methods,Mol Cell Biol,1
Nat Methods,Plant J,1
Nat Methods,FEBS J,12
Nat Methods,Stem Cell Reports,8
Nat Methods,Cell Stem Cell,17
Nat Methods,Bioinformatics,12
Nat Methods,Infect Genet Evol,1
Nat Methods,Cell Res,14
Nat Methods,Proc Biol Sci,1
Nat Methods,Development,4
Nat Methods,Dev Biol,3
Nat Methods,Biochem J,1
Nat Methods,Dev Genes Evol,1
Nat Methods,Biotechnol Lett,4
